database,schema,table,column,data_type,row_count
SALES,RAW,ORDERS,ORDER_ID,"NUMBER(38,0)",1204551
SALES,RAW,ORDERS,CUSTOMER,VARCHAR(50),1204551
SALES,RAW,ORDERS,REGION,VARCHAR(20),1204551
SALES,RAW,ORDERS,AMOUNT_TXT,VARCHAR(20),1204551
SALES,RAW,ORDERS,QTY,"NUMBER(38,0)",1204551
SALES,RAW,ORDERS,ORDER_DATE,DATE,1204551
SALES,RAW,ORDERS,STATUS,VARCHAR(10),1204551
SALES,RAW,ORDERS_ARCHIVE,ORDER_ID,"NUMBER(38,0)",8391004
SALES,RAW,ORDERS_ARCHIVE,CUSTOMER,VARCHAR(50),8391004
SALES,RAW,ORDERS_ARCHIVE,REGION,VARCHAR(20),8391004
SALES,RAW,ORDERS_ARCHIVE,AMOUNT_TXT,VARCHAR(20),8391004
SALES,RAW,ORDERS_ARCHIVE,QTY,"NUMBER(38,0)",8391004
SALES,RAW,ORDERS_ARCHIVE,ORDER_DATE,DATE,8391004
CRM,RAW,CUSTOMERS,CUST_ID,"NUMBER(38,0)",52310
CRM,RAW,CUSTOMERS,NAME,VARCHAR(60),52310
CRM,RAW,CUSTOMERS,CITY,VARCHAR(40),52310
CRM,RAW,CUSTOMERS,TIER,VARCHAR(10),52310
CRM,RAW,ORDERS_EXPORT,ORDER_ID,"NUMBER(38,0)",914220
CRM,RAW,ORDERS_EXPORT,CUST_ID,"NUMBER(38,0)",914220
CRM,RAW,ORDERS_EXPORT,AMOUNT,FLOAT,914220
CRM,RAW,ORDERS_EXPORT,ORDER_DATE,DATE,914220
FINANCE,RAW,GL_LEDGER,ACCT,VARCHAR(20),15208763
FINANCE,RAW,GL_LEDGER,PERIOD,VARCHAR(7),15208763
FINANCE,RAW,GL_LEDGER,POSTED,VARCHAR(10),15208763
FINANCE,RAW,GL_LEDGER,AMOUNT,"NUMBER(19,2)",15208763
FINANCE,RAW,GL_LEDGER,REGION,VARCHAR(10),15208763
FINANCE,RAW,GL_LEDGER,ENTRY_ID,"NUMBER(38,0)",15208763
ANALYTICS,CURATED,GL_SUMMARY,ACCT,VARCHAR(20),41876
ANALYTICS,CURATED,GL_SUMMARY,PERIOD,VARCHAR(7),41876
ANALYTICS,CURATED,GL_SUMMARY,TOTAL,"NUMBER(19,2)",41876
ANALYTICS,CURATED,GL_SUMMARY,CLOSING_BAL,FLOAT,41876
ANALYTICS,CURATED,GL_SUMMARY,ENTRIES,"NUMBER(38,0)",41876
ANALYTICS,CURATED,GL_SUMMARY,HAS_PERIOD_END,VARCHAR(1),41876
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,CUST_ID,"NUMBER(38,0)",118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,NAME,VARCHAR(60),118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,CITY,VARCHAR(40),118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,TIER,VARCHAR(10),118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,ORDER_ID,"NUMBER(38,0)",118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,AMOUNT,FLOAT,118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,ORDER_DATE,DATE,118442
ANALYTICS,CURATED,CUSTOMER_ORDER_FACT,MATCH_FLAG,VARCHAR(12),118442
WH,RAW,STOCK,SKU,VARCHAR(30),64118
WH,RAW,STOCK,WAREHOUSE,VARCHAR(10),64118
WH,RAW,STOCK,QTY,"NUMBER(38,0)",64118
WH,RAW,STOCK,NOTE,VARCHAR(100),64118
VENDOR,RAW,ACCOUNTS,ACCT,VARCHAR(20),9814
VENDOR,RAW,ACCOUNTS,UPDATED,DATE,9814
VENDOR,RAW,ACCOUNTS,BALANCE,FLOAT,9814
REF,RAW,REGION_CODES,REGION,VARCHAR(10),250
REF,RAW,REGION_CODES,CODE,VARCHAR(5),250
REF,RAW,REGION_CODES,NAME,VARCHAR(50),250
REF,RAW,STATUS_CODES,STATUS,VARCHAR(10),40
REF,RAW,STATUS_CODES,CODE,VARCHAR(5),40
REF,RAW,STATUS_CODES,DESCRIPTION,VARCHAR(100),40
