ACCT,PERIOD,POSTED,AMOUNT,REGION,ENTRY_ID
4000,2026-08,03/08/2026,100.00,EMEA,1
4000,2026-08,03/08/2026,150.00,EMEA,2
4000,2026-08,31/08/2026,200.00,EMEA,3
4000,2026-08,15/08/2026,-50.00,EMEA,4
5000,2026-08,31/08/2026,75.25,EMEA,5
5000,2026-08,31/02/2026,10.00,EMEA,6
5000,2026-07,30/07/2026,20.00,EMEA,7
6000,2026-08,29/02/2024,33.33,EMEA,8
6000,2026-08,01/08/2026,44.44,AMER,9
6000,2026-08,02/08/2026,55.55,\N,10
7000,2026-08,10/08/2026,12.50,EMEA,11
7000,2026-08,10/08/2026,12.50,EMEA,12
7000,2026-09,01/09/2026,99.99,EMEA,13
4000,2026-08,01/09/2026,-400.00,EMEA,14
