ORDER_ID,CUSTOMER,REGION,AMOUNT_TXT,QTY,ORDER_DATE,STATUS
101,Acme Corporation,EAST,500.00,1,2026-06-30,SHIPPED
102,Bolt Ltd,EAST,125.25,10,2026-07-31,SHIPPED
103,Cinder Works,NORTH,75.00,2,2026-08-31,SHIPPED
104,Delta,WEST,410.00,1,2026-08-31,SHIPPED
105,Echo Supplies,\N,60.00,1,2026-09-30,HOLD
106,Foxtrot,SOUTH,1100.00,10,2026-03-31,SHIPPED
107,Gamma Industries,SOUTH,2.675,1,2026-12-31,SHIPPED
108,Helio,NORTH,999.99,1,2026-08-31,SHIPPED
109,Iris Trading,EAST,abc,3,2026-09-30,SHIPPED
110,Juno,NORTH,250.00,10,2026-06-30,SHIPPED
